username,profile_url,following
kurstboy,https://letterboxd.com/kurstboy/,229777
schaffrillas,https://letterboxd.com/schaffrillas/,169674
jay,https://letterboxd.com/jay/,62964
deathproof,https://letterboxd.com/deathproof/,130734
davidehrlich,https://letterboxd.com/davidehrlich/,196406
thejoshl,https://letterboxd.com/thejoshl/,62987
ingridgoeswest,https://letterboxd.com/ingridgoeswest/,66824
colonelmortimer,https://letterboxd.com/colonelmortimer/,68254
silentdawn,https://letterboxd.com/silentdawn/,80791

